"","over_60","partnered","living_alone","Home_owner","young_child","Numb_dep","Have_dep","Main_carer_dep","PPeligible","IWSSUCP8","SIHPSWT"
"125",0,1,0,0,NA,0,0,0,0,541,1791.30518627071
"126",0,1,0,0,NA,0,0,0,0,3315,2361.84364079016
"127",0,1,0,0,NA,0,0,0,0,1702,2361.84364079016
"128",0,0,1,0,NA,0,0,0,0,1796,2361.84364079016
"129",0,1,0,0,NA,0,0,0,0,1165,139.031568800181
"130",0,1,0,0,NA,0,0,0,0,1150,139.031568800181
"131",0,0,0,0,15,2,1,1,0,0,990.112690262666
"132",0,0,0,0,15,2,1,1,0,150,990.112690262666
"133",0,0,0,0,15,2,1,1,0,0,990.112690262666
"134",0,0,1,0,NA,0,0,0,0,0,990.112690262666
"135",0,1,0,1,NA,0,0,0,0,0,177.669762626725
"136",0,1,0,1,NA,0,0,0,0,152,177.669762626725
"137",0,1,0,0,0,2,1,1,1,1613,1568.44828043903
"138",0,1,0,0,0,2,1,1,1,600,1568.44828043903
"139",0,1,0,1,6,2,1,1,1,2493,1311.80744421178
"140",0,1,0,1,6,2,1,1,1,660,1311.80744421178
"141",0,1,0,0,0,2,1,1,1,0,45.4620738741885
"142",0,1,0,0,0,2,1,1,1,0,45.4620738741885
"143",0,0,1,0,NA,0,0,0,0,0,41.2905103845457
"144",0,0,1,1,NA,0,0,0,0,400,972.263815935393
"145",1,0,1,1,NA,0,0,0,0,0,476.369889440862
"146",0,1,0,1,12,2,1,1,0,1394,1339.27389674773
"147",0,1,0,1,12,2,1,1,0,1308,1339.27389674773
"148",0,1,0,0,12,2,1,1,0,0,1339.27389674773
"149",1,1,0,1,NA,0,0,0,0,826,663.325135261411
"150",1,1,0,1,NA,0,0,0,0,1487,663.325135261411
"151",0,1,0,1,5,4,1,1,1,0,1151.70098798393
"152",0,1,0,1,5,4,1,1,1,2551,1151.70098798393
"153",0,1,0,0,1,2,1,1,1,0,728.431489273332
"154",0,1,0,0,1,2,1,1,1,1357,728.431489273332
"155",1,0,1,1,NA,0,0,0,0,0,487.391363164192
"156",1,1,0,1,NA,0,0,0,0,0,198.800471396112
"157",1,1,0,1,NA,0,0,0,0,0,198.800471396112
"158",0,1,0,1,NA,0,0,0,0,925,1535.3171200761
"159",0,1,0,0,NA,0,0,0,0,1918,1535.3171200761
"160",0,0,1,0,NA,0,0,0,0,0,1535.3171200761
"161",0,0,1,0,NA,0,0,0,0,500,1535.3171200761
"162",0,0,1,0,NA,0,0,0,0,1000,1535.3171200761
"163",0,1,0,0,6,2,1,1,1,379,46.2973065293389
"164",0,1,0,0,6,2,1,1,1,2660,46.2973065293389
"165",0,1,0,1,1,2,1,1,1,922,1947.32754099972
"166",0,1,0,1,1,2,1,1,1,1181,1947.32754099972
"167",0,0,1,1,NA,0,0,0,0,1732,119.368454858737
"168",0,1,0,1,NA,0,0,0,0,1914,289.779477558678
"169",0,1,0,1,NA,0,0,0,0,1609,289.779477558678
"170",0,1,0,0,5,1,1,1,1,447,664.831280281249
"171",0,1,0,0,5,1,1,1,1,1250,664.831280281249
"172",0,1,0,1,NA,0,0,0,0,0,944.334897681282
"173",0,1,0,1,NA,0,0,0,0,0,944.334897681282
"174",0,1,0,1,23,1,1,1,0,2840,907.475166177069
"175",0,1,0,1,23,1,1,1,0,1759,907.475166177069
