"AGEEC","wage","over_60","partnered","living_alone","Have_dep","Home_owner","HECSDebt","young_child","partner_earnings","Numb_dep","Rent","Main_carer_dep","PPeligible","child_ages","hours","TotalGovtPay_Stated","DispInc_Stated","EmployeeInc_Stated","AgedPen_Stated","FTB_Stated","PP_Stated","CRA_Stated","JSP_Stated","JSP_SIH_Modelled","FTB_SIH_Modelled","PP_SIH_Modelled","AgedPen_SIH_Modelled","CRA_SIH_Modelled","net_income","income_tax","work_income","JSP","PP_Pay","RA","ES","taxable_benefit","gross_income","gross_fam_income","net_fam_a_income","net_fam_b_income","HECS_payment"
31,26,0,1,0,1,0,0,2,2457,2,860,1,1,"2,5",20,0,499.73,520,0,0,0,0,0,0,0,0,0,0,783.640288461538,18.8384615384615,520,0,0,80.56875,3.95,0,520,567.25,197.96,0,0
36,64.6052631578947,0,1,0,1,0,0,2,520,2,860,1,1,"2,5",38,0,1785.62,2455,0,0,0,0,0,0,0,0,0,0,1787.09230769231,667.907692307692,2455,0,0,0,0,0,2455,2465,0,0,0
49,42.4,0,1,0,1,1,0,13,3051.42,2,NA,1,0,"13",40,0,1436.2,1696,0,0,0,0,0,0,0,0,0,0,1307.35769230769,388.642307692308,1696,0,0,0,0,0,1696,1754.68115384615,0,0,0
45,56.6,0,1,0,1,1,0,13,1696,2,NA,1,0,"13",30,0,2140.49,1698,0,0,0,0,0,0,0,0,0,0,1312.62,389.292307692308,1698,0,0,0,0,0,1698,1730.61538461538,3.91230769230768,0,0
15,0,0,1,0,1,0,0,13,4747.42,2,0,1,0,"13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,383.53,0,0,250.85,0,0,3.95,250.85,250.85,342.146538461538,128.73,0,0
60,0,1,0,0,1,0,0,16,150,1,326,1,0,"",0,564.99,864.99,0,0,85,0,0,0,0,198.24,0,0,0,367.1225,0,0,300.55,0,61.8225,4.75,300.55,300.55,303.434615384615,0,0,0
16,15,0,0,0,1,0,0,16,300,1,326,1,0,"",10,0,150,150,0,0,0,0,0,0,0,0,0,0,475.3725,0,150,258.8,0,61.8225,4.75,258.8,408.8,414.569230769231,0,0,0
47,1.81818181818182,0,1,0,1,1,0,4,156.33,2,NA,1,1,"4,9",55,0,100,100,0,0,0,0,0,0,0,0,0,0,653.65205,0,100,0,226.85,0,3.95,226.85,326.85,329.856346153846,197.96,124.89205,0
46,1.81818181818182,0,1,0,1,1,4116,4,100,2,NA,1,1,"4,9",55,467.34,623.67,100,0,197,269,0,0,0,315.91,198.14,0,0,660.13,0,100,0,226.85,0,3.95,226.85,326.85,328.773076923077,197.96,131.37,0
50,28,0,0,1,0,0,0,NA,0,0,580,0,0,"",25,0,647.56,700,0,0,0,0,0,0,0,0,0,0,646.961538461538,53.0384615384615,700,0,0,0,0,0,700,700,0,0,0
47,28.2352941176471,0,0,1,0,1,0,NA,0,0,NA,0,0,"",17,0,470.79,480,0,0,0,0,0,0,0,0,0,0,504.022538461538,18.4774615384615,480,38.1,0,0,4.4,38.1,518.1,518.1,0,0,0
54,47.6190476190476,0,1,0,0,1,0,NA,1074,0,NA,0,0,"",42,0,1588.27,2000,0,0,0,0,0,0,0,0,0,0,1500.44230769231,499.557692307692,2000,0,0,0,0,0,2000,2020.65384615385,0,0,0
53,26.85,0,1,0,0,1,0,NA,2000,0,NA,0,0,"",40,0,907.47,1074,0,0,0,0,0,0,0,0,0,0,887.507692307692,186.492307692308,1074,0,0,0,0,0,1074,1112.46153846154,0,0,0
46,21.14,0,0,0,1,0,0,9,0,1,1700,1,0,"9",50,100,1504.53,1057,0,100,0,0,0,0,111.72,0,0,6.87,1086.03759615385,180.967307692308,1057,0,0,80.35875,4.75,0,1057,1057,66.1661538461538,58.73,0
42,72.88,0,0,0,1,0,0,8,0,1,730,1,1,"8",50,0,2527.45,3644,0,0,0,0,0,0,0,0,0,0,2521.56538461538,1122.43461538462,3644,0,0,0,0,0,3644,3644,0,0,0
45,28.775,0,0,1,0,0,0,NA,0,0,730,0,0,"",40,0,958.05,1151,0,0,0,0,0,0,0,0,0,0,939.482692307692,211.517307692308,1151,0,0,0,0,0,1151,1151,0,0,0
52,0,0,1,0,1,1,0,13,5551.07,3,NA,1,0,"13",0,0,7104.73,0,0,0,0,0,0,0,0,0,0,0,383.53,0,0,250.85,0,0,3.95,250.85,250.85,357.601346153846,128.73,0,0
51,54.7333333333333,0,1,0,1,0,0,13,12322.34,3,0,1,0,"13",60,0,3557.42,3284,0,0,0,0,0,0,0,0,0,0,2309.36230769231,974.637692307692,3284,0,0,0,0,0,3284,3520.96807692308,0,0,0
18,0,0,1,0,1,0,3384,13,17873.41,3,0,1,0,"13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,383.53,0,0,250.85,0,0,3.95,250.85,250.85,594.569423076923,128.73,0,0
16,0,0,1,0,1,0,0,13,17873.41,3,0,1,0,"13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,383.53,0,0,250.85,0,0,3.95,250.85,250.85,594.569423076923,128.73,0,0
