"","hours","net_income","income_tax","work_income","JSP","PP_Pay","RA","ES","taxable_benefit","gross_income","gross_fam_income","net_fam_a_income","net_fam_b_income","HECS_payment","medicare_levy","PA"
"71",26.6,55172.09,-13112.35,69678,0,0,0,0,0,69678,159678,0,0,0,-1393.56,0
"72",26.98,55824.077,-13435.855,70673.4,0,0,0,0,0,70673.4,160673.4,0,0,0,-1413.468,0
"73",27.36,56476.064,-13759.36,71668.8,0,0,0,0,0,71668.8,161668.8,0,0,0,-1433.376,0
"74",27.74,57128.051,-14082.865,72664.2,0,0,0,0,0,72664.2,162664.2,0,0,0,-1453.284,0
"75",28.12,57780.038,-14406.37,73659.6,0,0,0,0,0,73659.6,163659.6,0,0,0,-1473.192,0
"76",28.5,58432.025,-14729.875,74655,0,0,0,0,0,74655,164655,0,0,0,-1493.1,0
"77",28.88,59084.012,-15053.38,75650.4,0,0,0,0,0,75650.4,165650.4,0,0,0,-1513.008,0
"78",29.26,59735.999,-15376.885,76645.8,0,0,0,0,0,76645.8,166645.8,0,0,0,-1532.916,0
"79",29.64,60387.986,-15700.39,77641.2,0,0,0,0,0,77641.2,167641.2,0,0,0,-1552.824,0
"80",30.02,61039.973,-16023.895,78636.6,0,0,0,0,0,78636.6,168636.6,0,0,0,-1572.732,0
"81",30.4,61691.96,-16347.4,79632,0,0,0,0,0,79632,169632,0,0,0,-1592.64,0
"82",30.78,62343.947,-16670.905,80627.4,0,0,0,0,0,80627.4,170627.4,0,0,0,-1612.548,0
"83",31.16,62995.934,-16994.41,81622.8,0,0,0,0,0,81622.8,171622.8,0,0,0,-1632.456,0
"84",31.54,63647.921,-17317.915,82618.2,0,0,0,0,0,82618.2,172618.2,0,0,0,-1652.364,0
"85",31.92,64299.908,-17641.42,83613.6,0,0,0,0,0,83613.6,173613.6,0,0,0,-1672.272,0
"86",32.3,64951.895,-17964.925,84609,0,0,0,0,0,84609,174609,0,0,0,-1692.18,0
"87",32.68,65603.882,-18288.43,85604.4,0,0,0,0,0,85604.4,175604.4,0,0,0,-1712.088,0
"88",33.06,66255.869,-18611.935,86599.8,0,0,0,0,0,86599.8,176599.8,0,0,0,-1731.996,0
"89",33.44,66907.856,-18935.44,87595.2,0,0,0,0,0,87595.2,177595.2,0,0,0,-1751.904,0
"90",33.82,67559.843,-19258.945,88590.6,0,0,0,0,0,88590.6,178590.6,0,0,0,-1771.812,0
"91",34.2,68211.83,-19582.45,89586,0,0,0,0,0,89586,179586,0,0,0,-1791.72,0
"92",34.58,68863.817,-19905.955,90581.4,0,0,0,0,0,90581.4,180581.4,0,0,0,-1811.628,0
"93",34.96,69515.804,-20229.46,91576.8,0,0,0,0,0,91576.8,181576.8,0,0,0,-1831.536,0
"94",35.34,70167.791,-20552.965,92572.2,0,0,0,0,0,92572.2,182572.2,0,0,0,-1851.444,0
"95",35.72,70819.778,-20876.47,93567.6,0,0,0,0,0,93567.6,183567.6,0,0,0,-1871.352,0
"96",36.1,71471.765,-21199.975,94563,0,0,0,0,0,94563,184563,0,0,0,-1891.26,0
"97",36.48,72123.752,-21523.48,95558.4,0,0,0,0,0,95558.4,185558.4,0,0,0,-1911.168,0
"98",36.86,72775.739,-21846.985,96553.8,0,0,0,0,0,96553.8,186553.8,0,0,0,-1931.076,0
"99",37.24,73427.726,-22170.49,97549.2,0,0,0,0,0,97549.2,187549.2,0,0,0,-1950.984,0
"100",37.62,74079.713,-22493.995,98544.6,0,0,0,0,0,98544.6,188544.6,0,0,0,-1970.892,0
"101",38,74731.7,-22817.5,99540,0,0,0,0,0,99540,189540,0,0,0,-1990.8,0
